hcpcs_code,total_unique_beneficiaries,total_paid
00003,14346885,5330165952.54
W1793,527089,2256074210.53
W7210,2421443,687075856.32
99361,378027,610209627.97
8888888,565594,542578200.8
0241U,5647333,504031504.83
X4011,945872,349820018.84
0202U,1775346,295707400.37
W0725,31028,255094985.2
W7350,74576,246679440.65
W6110,457558,240880615.91
W0500,388113,231984578
77386,66212,216592019.82
99442,6001186,206263582.1
W5102,178724,202056388.41
Y7506,520561,197484613.66
0365T,85213,168669357.64
W7370,57268,166598756.85
96152,721370,165386271.46
M0123,85374,165371892.3
99443,2180570,145643875.15
5140Z,44493,137769646.63
00069,203169,132247911.97
D9248,1318842,123556566.91
Y9504,40048,117542405.78
0001A,3264150,113776380.86
0002A,2959272,112727473.13
M0150,28370,112453848.07
W7330,29200,109760257.34
99441,4403623,103939133.87
99201,1296068,99228937.87
Z7502,2611745,98298398.6499998
W0715,39060,95986885.08
96153,887193,94268055
W7375,48859,93173906.89
X4003,882129,86714315.78
99220,911405,84676467.07
M0122,42807,79700049.12
OP250,3073137,72502451.43
M0355,17073,69035670.55
Z0637,428642,67903288.54
96150,355540,64147714.94
W1761,534809,63394841.63
99336,1723722,63217237.29
X4006,54389,62707843.59
96101,239322,62583833.36
M0116,100475,60176195.96
Z5834,5636,59021450.32
00068,83300,58928740.67
95951,122624,58352343.04
1021Z,23401,57571017.74
0225U,253140,57114624.07
W7060,29172,56923643.29
W1760,235365,56019266.48
M0125,23325,55105171.23
99354,536040,54132218.98
M0152,12272,52401942.96
99343,245364,52298308.17
0012A,1503910,51755649.84
W0300,27829,51589940.87
OP710,471854,50633420.84
0011A,1628654,48329634.6200001
X5622,723581,47536026.3
Z9557,54535,46135525.71
Z1034,1853046,44983734.31
W9045,3152,44240596.07
Z7500,2453468,42961573.98
0240U,380913,41319160.8
92586,754500,40272634.09
0364T,93952,39857448.37
5140Y,17653,39764975.99
99218,227991,39732993.39
OP370,362970,39527218.91
77014,190436,39062172.19
G0749,36478,38306897.35
0369T,73615,38145531.68
Z0199,303990,37822921.71
M0167,9688,37238440.71
G0226,176855,36140888.58
99219,396864,35878941.62
97532,257062,35655209.3
OP272,745576,35101490.45
90806,11666,35012998.77
Z0195,221888,34029973
Z5999,65739,33665392.85
0071A,736586,33612734.05
99217,771032,33372026.51
Z9560,48117,33271058.15
G0100,52776,30097200.98
0072A,624572,29752392.4
W0016,212743,29352182.72
M0361,13078,29189765.25
99337,481144,28969615.58
Y7507,63071,28560495.36
99444,147980,27634374.5
Z5868,5071,27499324.95
99335,1078670,26731460.85
G0648,277648,25732468.99
M0118,33718,24674773.46
W9047,2445,24093724.95
1286Z,168151,23990009.17
Z0102,34322,23173864.62
37229,11328,22926081.57
1201Z,20074,22082907.17
M0124,7359,21984300.34
X4014,19880,21812124.7
96151,376766,21713013.05
D9220,93000,21341598.37
M0360,14246,21139205.1
0064A,548554,20773168.66
M0166,5296,20104793.61
W9029,1043,20072930.09
0004A,531047,19829826.03
99241,266505,19557953.38
0368T,85146,19502641.35
Z4306,341001,19128572.93
W0700,12913,19042898.51
0345U,110302,18598813.93
D9221,75960,18216807.17
Z1032,231112,17732568.56
0124A,456074,17659483.08
M0115,35782,17536716.49
M0354,10492,17457611.69
Z0104,35759,17449343.36
Z6004,11004,17109498.31
93890,144506,16845162.95
OP278,22937,16760018.3
W7310,10458,16604457.2
W1895,557542,16457306.62
1023Z,2851,16359458.5
92226,647335,16011345.02
97127,38325,15978182.74
W0260,2668,15950757.88
W0560,9547,15583205.67
01936,198539,15082899.86
81211,16419,15053747.21
M0299,154562,14481358.8
Z9725,343668,14093350.39
W0038,1703,13778659.05
W9323,90414,13457550
96118,32403,13333895.37
OP279,189251,13322383.74
Z9558,12318,13101901.2
X1939,205404,13091034.51
Z4300,123764,12758378.21
5140X,6743,12388857.44
M0151,2432,12258397.83
92225,358037,12192044.61
M0149,3032,11393232.99
W0200,3906,11357689.01
LF001,4405,11327545.04
W7201,12379,11301069.43
0037U,14856,11264332.32
0054A,238074,11084700.75
W1726,5874,10971062.41
OP270,421562,10792507.27
Z7610,756807,10629650.7
Z4305,98423,10567378.2
37225,5508,10382988.27
ATP14,1341573,9874873.63
X3908,198188,9825390.92
X0241,3485,9731847.53
X6987,11052,9453042.15
W0720,7548,9320325.71
M0113,21325,9214447.91
Z6500,106613,9038851.33
0003A,224319,9016379.58
1220Z,38395,8982308.30999999
OP259,961959,8864530.18
2074Y,2743,8625666.63
M0117,9215,8620782.24
M0133,37540,8592834.49
W0710,8790,8480838.32
99340,56732,8417769.68
M0111,43710,8327500.52
W0037,449032,8236101.89
99334,586841,8162854.09
96111,80258,8026136.07
W9306,3569,7993198.06
Z5838,866,7918495.77
0223U,39108,7865693.7
0242U,9383,7650245.36
1210Z,7791,7610731.07
X4110,171128,7584177.7
W7226,5071,7538963.42
11100,120368,7511936.43
0340U,28663,7381209.48
M0373,14346,7368759.7
Z4304,110547,7200272.7
W0510,18621,7193271.78
99226,78171,7136965.18
0031A,213708,7026703.21
96040,140339,7010863.67
X5635,1018,6845062.93
D4220,11201,6761332
1213M,3905,6269839.46
X3920,151031,6236225.8
Z0309,44181,6216139.22
0134A,169867,6206860.51
M0209,32877,6196436.59
92585,43902,6166174.97
W0530,12391,5978786.95
0327U,25760,5966098.33
X0621,17020,5966084.34
X2061,2968,5825308.13
99356,131936,5680199.4
ATP08,945917,5569372.07
X0215,231867,5538693.25
99355,35184,5526763.18
Y2032,15825,5361889.04
0370T,27590,5272675.59
00042,1782,5199809.89
Z6020,1756,5161362.14
SRX01,1355,5158905.97
81545,4235,4992228.78
X6985,8329,4988758.32
OP258,1043392,4975001.7
99225,122804,4936699.23
93299,139328,4931357.13
0297T,65458,4525704.4
G0227,40529,4516648.6
0026U,4690,4335350.91
99318,87218,4301742.68
W5996,1920,4250851.89
W0705,7827,4213170.33
X0377,25764,4212414.6
ATP15,474431,4177606.65
Z4301,143128,4158478.56
X4100,104602,4151858.98
1286A,28592,3965504.03
0013A,128376,3936214.26
W7274,7081,3929712.93
W7319,37913,3805327.2
M0298,80125,3780184.71
M0169,897,3777738.25
OP379,56986,3721898.35
77385,1154,3698102.7
Z4303,88096,3677962.18
1214Z,9254,3551453.29
T2013TF,2277,3517567.41
Z4307,110374,3476359.93
W0055,1820,3439193.77
T0012,22676,3351489
1546P,645,3327201.99
0326U,5811,3318284.95
Z7506,24076,3171698.86
X3922,76354,3117695.84
G6063,32953,3092481.75
D8060,7583,3070750.18
W7224,1467,3064487.94
0359T,6427,3045951.28
1530P,11813,3032613.84
ATP17,593776,3005541.99
D1352,32822,2939602.79
512,12139,2930808.32
99224,28670,2917125.52
0099U,18692,2909373.9
95953,5367,2878839.01
M0372,18919,2857841.58
W7275,3804,2855974.29
1223Z,77124,2761467.16
1286C,20041,2757996.06
Z0100,6889,2755937.99
M0145,6385,2754064.18
10E0XZZ,524,2729176.58
80100,97530,2728325.76
81213,9846,2699579.07
Z5946,987,2681414.15
M0101,29338,2644972.59
12170,873,2630196.23
0052A,51484,2594966.09
81433,34468,2590124.45
D8690,20684,2509362.03
12200,6384,2485442.76
0239U,3426,2471222.12
W7095,3115,2456263.2
Z4308,67053,2455520.55
W0230,322,2451843.79
W0520,5224,2424203.09
M0171,6915,2378898.35
0100U,20956,2364643.24
Y9500,755,2358077.67
X4102,59119,2342041.96
00067,8591,2329575.87
X3910,104222,2297935.91
0154A,45122,2219464.56
X0341,1183,2197080.8
92593,65565,2186419.43
0051A,50794,2180425.09
99327,28523,2166664.78
X3928,73420,2165742.34
37227,1143,2151824.07
W9324,7537,2146925
0081A,49564,2142675.12
Z6400,469393,2141237.3
W1764,9464,2139002.51
80104,56442,2106637
Z0059,84984,2068344.1
91300,2618735,1970930.79
Z6410,386412,1970466.04
1433Z,982,1965063.96
X0043,1437,1957907.79
X0620,10394,1942981.12
92591,45092,1933449.73
1432Z,1210,1908754.73
1437Z,1184,1897583.38
Z4311,140926,1869630.31
W1002,28716,1850518.66
97001,36846,1839819.04
X5621,15810,1839143.61
92275,28887,1827607.36
97003,24442,1804518.89
1218Z,13022,1771881.25
X4112,90552,1754280.39
ATP03,448584,1745607.29
72275,45874,1735021.87
OP251,145587,1692102.48
W0100,193,1682937.6
X4500,18865,1674749.51
M0420,5165,1644246.29
0352U,75672,1636629.53
95943,28826,1627715.13
G0228,7368,1611529.11
M0153,206,1609171.69
D7960,7259,1601006.6
90804,1394,1574485.97
M0799,11581,1538699.69
G6064,5172,1523537.92
1439Z,4630,1522989.55
OP271,110052,1520515.62
W9307,1235,1513911.88
M0315,50018,1512677.68
95956,1351,1509408.79
1431Z,1434,1506608.7
0082A,32159,1502615.81
X1915,13938,1488971.8
96119,12860,1468429.83
96154,53063,1461034.18
1438Z,808,1459662.07
1288Z,6085,1447474.46
HZ2ZZZZ,477,1446385.07
99251,34176,1441795.24
71020,91485,1396745.71
92595,32440,1375604.3
W0140,774,1375116.52
1548P,7739,1328395.68
X4120,45969,1324093.02
1520P,675,1303808.9
91122,10915,1294823.76
X1922,6456,1269728.65
0361T,3346,1239544.1
Z4310,91165,1210122.28
X4303,8632,1208687.13
10022,8234,1198246.4
12160,1367,1187868.52
W0730,893,1180660.2
W1759,4603,1160934.06
49580,504,1138277.72
W0102,164,1136984.49
80502,27776,1127249.74
1436Z,989,1116834.69
0097U,18009,1102121.15
99326,21811,1099381.1
99090,3422,1093422.85
91301,1322088,1074690.27
W0137,29148,1069897.11
M0135,2125,1057502.86
0074A,21890,1054062.92
D2941,4508,1046772.48
43760,8329,1037770.4
Z6406,255612,1007990.47
01935,17785,998391.81
X0616,4816,970956.69
0374T,211,960057.6
91120,5899,942949.45
A0010,1400,938499.19
55700,3113,924702.7
92592,30223,891938.06
71010,88892,889667.7
300,3014,875992.57
Z4312,72715,872443.51
96102,16994,867086.88
D1515,3544,860770.91
Z6204,206041,859708.14
W7335,611,841000
0080U,1601,840191.99
M0347,432,837766.67
80500,77535,831716.48
ATP11,155822,828215.62
Z5822,19005,808197.6
HZ42ZZZ,139,806964.67
M0419,6337,805601.14
94750,15730,804048.05
96103,58414,804023.67
ATP07,147731,803327.43
Z6030,472,802264.63
GZ3ZZZZ,45,797741.77
Z5942,2528,794526.27
99328,8787,785152.35
81436,3129,757145.47
X4530,21064,732285.51
ATP16,75624,726882.42
0053A,20909,721965.09
W0550,844,711987.18
0111A,18243,711783.78
W0003,6137,694719.72
ATP18,128466,691576.39
Z0106,3579,690331.23
W9314,1236,683975.74
Z4302,52174,680440.44
1397Z,714,677280.63
Z6304,164884,668484.19
Z5832,91,665336.45
1434Z,5311,665315.64
74241,7501,647859.54
0117U,16447,638354.73
X4544,7898,635394.39
W7032,9849,632503.54
X4540,21943,623091.26
HZ39ZZZ,129,616560
D8692,3054,615081.6
ATP09,92171,609090.65
W0210,830,601817.25
M0119,210,599551.51
0073A,14768,597324.39
Z5924,12085,590478.6
94770,20012,584650.52
0363T,1213,581439.3
2288Z,681,573659.21
0399T,22377,565066.29
0042T,16890,561324.52
Z5836,3483,557236.28
CP007,8053,552265.92
0047U,843,538173.13
0172U,658,536984.87
APT15,38372,535657.3
91307,676916,535561.46
0312U,13469,533181.44
0353U,36434,532922.61
W1011,3965,525596.35
Z0645,1336,521931.82
00015,4449,512442.46
95950,289,509233.48
0112A,11778,503302.77
X0150,8370,500217.12
CP002,38093,494667.52
W7010,35868,493433.6
Z5406,20555,492335.87
76970,7710,486423.71
X3926,19756,472342.24
ATP10,92770,467799.26
00017,1992,458729.2
D1203,25013,458701
93531,712,457723.92
W9520,5047,456568.7
99325,16239,453853.11
Z5910,12492,438375.03
Z0160,3300,421976.3
80101,17001,407691
Z5916,11295,403404.92
0367T,893,396125.78
M0131,1136,390360.05
H2016HI,189,387207.15
Z1038,47890,386848.91
OP229,7037,384048.28
0366T,2091,383684.69
G0750,408,382671.39
ATP04,72170,374042.19
77059,1250,372665.69
X0592,10952,371080.11
M0143,819,364550.96
77401,5505,364465.89
X4301,4588,360465.34
11101,13024,354358.42
W0570,818,353236.44
96120,12869,347803.13
0118U,1197,344770.99
S4930,33861,344407.39
450,351,341965.32
Z6412,14157,341757.34
ATP02,89861,340625.3
92590,7300,330109.28
0360T,3846,323477.64
Z4309,12059,318837.13
0296T,14491,311474.46
1300Z,1363,309131.18
1536P,74,307598.45
0334U,836,304239.51
98969,10966,303602.02
M0154,864,303197.29
0083A,6939,301715.04
Z7512,12624,300807.32
0034A,6020,288638.15
1448P,2046,286173.99
99357,4499,285344.89
86781,14988,280393.65
0087U,530,278083.05
0064U,23458,277686.02
87450,21490,275619.21
Z7514,4391,273676.97
0018U,1670,271457.97
0482T,1977,270502.33
X4304,9286,259744.61
APT16,17111,258769.8
Z5958,1530,257260.17
W8700,736,253097.96
0212U,301,250001.93
X4104,11662,247925.27
Z0178,1470,247507
W0163,179,246110.08
M0202,675,244172.41
Z5936,4170,243652
0213U,281,243308.57
W0655,1359,242242
M0539,6549,241612.83
0005U,2580,235822.27
37231,594,230317.12
0204U,1075,230149.54
90782,609,228398.22
W9322,502,224000
Z6404,31844,221813.58
0173A,6091,221630.6
W0104,336,218409.59
1291Z,2684,217531.21
Z9559,222,217323.12
99339,5260,214451.49
0214U,429,213464.42
520,866,210769.44
1247Z,2028,206496.37
W0220,37,205140.16
W1894,6544,199146.32
