revenue_code,description,source
0000,UNKNOWN / NOT IN IL+PA REFERENCES,—
0001,Total Charge,Illinois HFS revenue code crosswalk (2011)
0003,RESERVED,Wisconsin ForwardHealth RY 2024 Outpatient Revenue Code Crosswalk
0010,RESERVED,Illinois HFS revenue code crosswalk (2011)
0014,UNKNOWN / NOT IN IL+PA REFERENCES,—
0015,UNKNOWN / NOT IN IL+PA REFERENCES,—
0016,UNKNOWN / NOT IN IL+PA REFERENCES,—
0017,UNKNOWN / NOT IN IL+PA REFERENCES,—
0018,UNKNOWN / NOT IN IL+PA REFERENCES,—
0022,HIPPS - SNF PPS,Illinois HFS revenue code crosswalk (2011)
0023,HIPPS - HHS PPS,Illinois HFS revenue code crosswalk (2011)
0028,RESERVED,Illinois HFS revenue code crosswalk (2011)
0039,RESERVED,Illinois HFS revenue code crosswalk (2011)
0042,RESERVED,Illinois HFS revenue code crosswalk (2011)
0045,RESERVED,Illinois HFS revenue code crosswalk (2011)
0067,RESERVED,Illinois HFS revenue code crosswalk (2011)
0068,RESERVED,Illinois HFS revenue code crosswalk (2011)
0069,RESERVED,Illinois HFS revenue code crosswalk (2011)
0070,RESERVED,Illinois HFS revenue code crosswalk (2011)
0075,RESERVED,Illinois HFS revenue code crosswalk (2011)
0092,RESERVED,Illinois HFS revenue code crosswalk (2011)
0100,All Inclusive Rate - Room & Board & Ancillary,Illinois HFS revenue code crosswalk (2011)
0101,All Inclusive Rate - Room & Board,Illinois HFS revenue code crosswalk (2011)
0110,Room-Board /PVT,Illinois HFS revenue code crosswalk (2011)
0111,MED-SUR-GYN/PVT,Illinois HFS revenue code crosswalk (2011)
0112,OB/PVT,Illinois HFS revenue code crosswalk (2011)
0113,PEDIATRIC/PVT,Illinois HFS revenue code crosswalk (2011)
0118,REHAB/PVT,Illinois HFS revenue code crosswalk (2011)
0119,OTHER/PVT,Illinois HFS revenue code crosswalk (2011)
0120,ROOM-BOARD/SEMI,Illinois HFS revenue code crosswalk (2011)
0121,MED-SUR-GYN/2BED,Illinois HFS revenue code crosswalk (2011)
0122,OB/2BED,Illinois HFS revenue code crosswalk (2011)
0123,PEDIATRIC/2BD,Illinois HFS revenue code crosswalk (2011)
0124,PSYCHIATRIC/2BD,Illinois HFS revenue code crosswalk (2011)
0127,ONCOLOGY/2BED,Illinois HFS revenue code crosswalk (2011)
0128,REHAB/2BED,Illinois HFS revenue code crosswalk (2011)
0129,OTHER/2BED,Illinois HFS revenue code crosswalk (2011)
0130,ROOM-BOARD/3&4BED,Illinois HFS revenue code crosswalk (2011)
0131,MED-SUR-GYN/3&4BED,Illinois HFS revenue code crosswalk (2011)
0134,PSYCHIATRIC/3&4BED,Illinois HFS revenue code crosswalk (2011)
0138,REHAB/3&4BED,Illinois HFS revenue code crosswalk (2011)
0145,HOSPICE/PVT/DLX,Illinois HFS revenue code crosswalk (2011)
0150,ROOM-BOARD/WARD,Illinois HFS revenue code crosswalk (2011)
0154,PSYCHIATRIC/WARD,Illinois HFS revenue code crosswalk (2011)
0160,ROOM-BOARD/OTHER,Illinois HFS revenue code crosswalk (2011)
0169,R-B/OTHER,Illinois HFS revenue code crosswalk (2011)
0170,NURSERY,Illinois HFS revenue code crosswalk (2011)
0171,NURSERY/NEWBORN-LVL1,Illinois HFS revenue code crosswalk (2011)
0172,NURSERY/CONTINUING CARE LVL2,Illinois HFS revenue code crosswalk (2011)
0180,LOA,Illinois HFS revenue code crosswalk (2011)
0183,LOA/THERAPEUTIC,Illinois HFS revenue code crosswalk (2011)
0185,LOA/HOSPITALIZATION,Illinois HFS revenue code crosswalk (2011)
0190,SUBACUTE   ,Illinois HFS revenue code crosswalk (2011)
0191,SUBACUTE/SKILLED CARE LVL1,Illinois HFS revenue code crosswalk (2011)
0192,SUBACUTE/COMPREHENSIVE CARE LVL2,Illinois HFS revenue code crosswalk (2011)
0193,SUBACUTE/COMPLEX CARE LVL3,Illinois HFS revenue code crosswalk (2011)
0199,Other subacute care,Illinois HFS revenue code crosswalk (2011)
0200,Intensive Care Unit,Illinois HFS revenue code crosswalk (2011)
0201,ICU - Surgical,Illinois HFS revenue code crosswalk (2011)
0202,ICU - Medical ,Illinois HFS revenue code crosswalk (2011)
0203,ICU - Pediatric,Illinois HFS revenue code crosswalk (2011)
0206,Intermediate ICU,Illinois HFS revenue code crosswalk (2011)
0209,Other intensive care,Illinois HFS revenue code crosswalk (2011)
0210,Coronary care unit,Illinois HFS revenue code crosswalk (2011)
0211,CCU - Myocardial Infarction,Illinois HFS revenue code crosswalk (2011)
0214,Intermediate CCU,Illinois HFS revenue code crosswalk (2011)
0250,Pharmacy,Illinois HFS revenue code crosswalk (2011)
0251,Pharmacy: Generic,Illinois HFS revenue code crosswalk (2011)
0252,Pharmacy: Nongeneric,Illinois HFS revenue code crosswalk (2011)
0253,Take home drugs,Illinois HFS revenue code crosswalk (2011)
0254,Pharmacy: Incident to other diagnostic services,Illinois HFS revenue code crosswalk (2011)
0255,Pharmacy: Incident to radiology,Illinois HFS revenue code crosswalk (2011)
0257,Pharmacy: Non-prescription,Illinois HFS revenue code crosswalk (2011)
0258,Pharmacy: IV solutions,Illinois HFS revenue code crosswalk (2011)
0259,Pharmacy: Other,Illinois HFS revenue code crosswalk (2011)
0260,IV Therapy,Illinois HFS revenue code crosswalk (2011)
0261,IV Therapy: Infusion pump,Illinois HFS revenue code crosswalk (2011)
0270,Medical/Surgical Supplies,Illinois HFS revenue code crosswalk (2011)
0271,Medical/Surgical Supplies: Nonsterile supplies,Illinois HFS revenue code crosswalk (2011)
0272,Medical/Surgical Supplies: Sterile supplies,Illinois HFS revenue code crosswalk (2011)
0273,Medical/Surgical Supplies: Take home supplies,Illinois HFS revenue code crosswalk (2011)
0274,Medical/Surgical Supplies: Prosthetic/Orthotic devices,Illinois HFS revenue code crosswalk (2011)
